Acer A515-56G-57H5 (Charcoal Black) A515-56G-56AZ  (Pure Silver) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Acer Aspire 3 A314-35-C6Y8 | 14-inch HD | Intel Celeron N4500 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 3 A314-35-C733 | 14-inch HD | Intel Celeron N4500 | 4GB DDR4 RAM | 256GB SSD |  | Windows 11 |  |
Acer Aspire 3 A314-35-P0DC | 14-inch HD | Intel Pentium Silver N6000 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A314-35-P4BJ | 14-inch HD Display | Intel Pentium Silver N6000 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 3 A314-35-P9UJ | 14-inch HD | Intel Pentium Silver N6000 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 3 A315-35-C672 | 15.6-inch FHD | Intel Celeron N4500 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 3 A315-35-C6GV (Pure Silver) | 15.6-inch FHD | Intel Celeron N4500 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A315-35-P1FX | 15.6-inch FHD LCD | Intel Pentium Silver N6000 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 3 A315-35-P5N9 | 15.6-inch FHD | Intel Pentium Silver N6000 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A315-56-594H Blue/ 512U Red | 15.6-inch HD | Intel Core i5-1035G1 | 4GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A315-58-3080 Pure Silver | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A315-58-345U Pure Silver | 15.6-inch FHD | Intel Core i3-1115G4 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 3 A315-58-3474 | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 5  A514-54-50LX Charcoal Black | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire 5 A514-53-361R (Magic Purple) | 14-inch IPS | Intel Core i3-1005G1 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 5 A514-54-31WL|Black | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 5 A514-54-34UP Safari Gold | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 5 A514-54-35EB (Sakura Pink) | 14-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Aspire 5 A514-54-37V6 Gold/ 3918 Pink/ 37X8 Black | 14-inch FHD IPS | Intel Core i3-1115G4 | 8GB RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Aspire 5 A514-54-54GA Safari Gold | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire 5 A514-54-55K5 Black / 59LK Gold | 14-inch FHD IPS | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Aspire 5 A515-56-53RZ (Black) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire 5 A515-56-5843 (Black) | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Aspire 5 A515-56-74N5 Charcoal Black | 15.6-inch FHD | Intel Core i7-1165G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire 5 A515-56G-31YF Pure Silver | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 11 |  |
Acer Aspire 5 A515-56G-34QK Pure Silver | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
Acer Aspire 7 A715-42G-R5C5 | 15.6-inch FHD | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Acer Aspire 7 A715-42G-R9F8 Black | 15.6-inch FHD IPS | AMD Ryzen 7 5700U | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Acer Aspire Vero AV15-51-57WC | 15.6-inch FHD IPS | Intel Core i5-1155G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire Vero AV15-51-78G8 | 15.6-inch FHD IPS | Intel Core i7-1195G7 | 16GB DDR4 RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire Vero AV15-51R-5822 | 15.6-inch FHD | Intel Core i5-1155G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer Aspire Vero AV15-51R-747A | 15.6-inch FHD | Intel Core i7-1195G7 | 8GB DDR4 RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Acer ENDURO EN314-51W-7311 | 14-inch FHD IPS | Intel Core i7-1165G7 | 16GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 Pro |  |
Acer Nitro 5 AN515-45-R2NV | 15.6-inch FHD IPS 144Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Acer Nitro 5 AN515-45-R5RJ | 15.6-inch FHD 144Hz | AMD Ryzen 9 5900HX | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Acer Nitro 5 AN515-45-R77J | 15.6-inch FHD IPS 144Hz | AMD Ryzen 7 5800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Acer Nitro 5 AN515-55-56R2 | 15.6-inch FHD IPS 144Hz | Intel Core i5-10300H | 8GB RAM | 256GB SSD | NVIDIA GeForce GTX 1650 Ti | Windows 10 |  |
Acer Nitro 5 AN515-57-50AG | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Acer Nitro 5 AN515-57-535Z | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Acer Nitro 5 AN515-57-53SB | 15.6-inch FHD IPS 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
Acer Nitro 5 AN515-57-584E | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Acer Nitro 5 AN515-57-90SF | 15.6-inch FHD 144Hz | Intel Core i9-11900H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Acer Nitro 7 AN715-51-54U3 | 15.6-inch FHD IPS | Intel Core i5-9300H | 4GB RAM | 1TB HDD + 256GB SSD | NVIDIA GeForce GTX 1660 Ti | Windows 10 |  |
Acer Nitro 7 AN715-51-58X1 | 15.6-inch FHD IPS 144Hz | Intel Core i5-9300H | 4GB RAM | 1TB HDD + 256GB SSD | NVIDIA GeForce GTX 1660 Ti | Windows 10 |  |
Acer Porsche Design Book RS AP714-51T-56GS|Black | 14-inch FHD Touch | Intel Core i5-1135G7 | 8GB LPDDR4X RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Porsche Design Book RS AP714-51T-5922 | 14-inch FHD Touch | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Predator Helios 300 PH315-53-53KP | 15.6-inch FHD 144Hz | Intel Core i5-10300H | 8GB DDR4 RAM | 1TB HDD + 256GB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Acer Predator Helios 300 PH315-53-72RY | 15.6-inch FHD IPS 144Hz | Intel Core i7-10750H | 8GB RAM | 1TB HDD + 512GB SSD | NVIDIA GeForce RTX 2060 | Windows 10 |  |
Acer Predator Helios 300 PH315-54-55A4 | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Acer Predator Helios 300 PH315-54-55NE | 15.6-inch QHD 165Hz | Intel Core i5-11400H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Acer Predator Helios 300 PH315-54-70BF | 15.6-inch FHD 144Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Acer Predator Helios 300 PH315-54-71KT | 15.6-inch QHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Acer Predator Helios 300 PH315-54-768A | 15.6-inch QHD 165Hz | Intel Core i7-11800H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Acer Predator Helios 300 PH315-54-93K9 | 15.6-inch FHD 300Hz | Intel Core i9-11900H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Acer Predator Helios 300 PH315-54-96CB | 15.6-inch QHD 165Hz | Intel Core i9-11900H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Acer Predator Triton 300 PT315-51-500M | 15.6-inch FHD | Intel Core i5-9300H | 4GB RAM | 1TB HDD | NVIDIA GeForce GTX 1650 | Windows 10 |  |
Acer Predator Triton 500 PT515-51-754P | 15.6-inch FHD | Intel Core i7-9750H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 2070 | Windows 10 |  |
Acer Predator Triton 500 PT515-52-73VZ | 15.6-inch FHD IPS 300Hz | Intel Core i7-10875H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 2080 Max-Q | Windows 10 |  |
Acer Swift 3 SF314-43-R06N | 14-inch FHD | AMD Ryzen 5 5500U | 8GB LPDDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Acer Swift 3 SF314-43-R4CP | 14-inch FHD | AMD Ryzen 5 5500U | 8GB LPDDR4X RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Acer Swift 3 SF314-53G-550F Iron Man Edition | 14-inch FHD IPS | Intel Core i5-8250U | 8GB RAM | 256GB SSD | NVIDIA GeForce MX150 | Windows 10 |  |
Acer Swift 3 SF314-57-5954  (Grey) | 14-inch FHD | Intel Core i5-1035G1 | 8GB RAM | 512GB SSD | Intel HD Graphics | Windows 10 |  |
Acer Swift 3 SF314-59-5934 (Melon Pink) | 14-inch FHD IPS | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Swift 5 SF514-55TA-54J7 Mist Green | 14-inch FHD IPS Touch | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Acer Travelmate  P215-53G-5598 | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX330 | Windows 11 |  |
Acer Travelmate P2 P214-53-78VC | 14-inch HD | Intel Core i7-1165G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 Pro |  |
Acer Travelmate P2 P215-53-3567 | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer TravelMate P2 TMP215-53-30VP | 15.6-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Acer Travelmate P215-53-30HJ | 15.6-inch FHD IPS | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
Acer Travelmate P215-53G-706W | 15.6-inch FHD IPS | Intel Core i7-1165G7 | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX330 | Windows 10 |  |
Acer Travelmate P414RN-51-5292 (Blue) | 14-inch FHD IPS | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 Pro |  |
Alienware M15 R5 | 15.6-inch QHD 240Hz Display | AMD Ryzen 7 5800H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Alienware M15 R6 | 15.6-inch QHD 240Hz Display | Intel Core i7-1800H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Alienware X15 R1 (Lunar Light) | 15.6-inch FHD 360Hz | Intel Core i9-11900H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 3080 | Windows 10 |  |
Alienware X15 R1 (Lunar Light) | 15.6-inch QHD 240Hz | Intel Core i7-11800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Alienware X15 R1 (Lunar Light) | 15.6-inch QHD 240Hz | Intel Core i7-11800H | 32GB RAM | 512GB SSD | NVIDIA GeForce RTX 3080 | Windows 10 |  |
Apple MacBook Air | 13.3-inch (2560x1600) Display | M1 Chip with 8-Core CPU | 8GB RAM | 256GB SSD |  | macOS Big Sur |  |
Apple MacBook Air | 13.3-inch | M1 Chip with 8-Core CPU | 8GB RAM | 512GB SSD |  | macOS Big Sur |  |
Apple MacBook Air 2020 | 13-inch Retina Display | Intel Core i3 1.1GHz | 8GB RAM | 256GB SSD | Intel Iris Plus | macOS |  |
Apple Macbook Air 2020 | 13.3-inch IPS | Intel Core i5-1035G4 | 8GB RAM | 512GB SSD | Intel Iris Plus | macOS |  |
Apple MacBook Pro | 13.3-inch (2560x1600) Display | M1 Chip with 8-Core CPU | 8GB RAM | 256GB SSD |  | macOS Big Sur |  |
Apple MacBook Pro | 13.3-inch (2560x1600) Display | M1 Chip with 8-Core CPU | 8GB RAM | 512GB SSD |  | macOS Big Sur |  |
Apple MacBook Pro | 16-inch | M1 Pro Chip with 10-Core CPU | 16GB RAM | 512GB SSD |  | macOS |  |
Apple MacBook Pro MWP42PP/A (Space Gray) | 13-inch Retina Display | Intel Core i5-1038NG7 | 16GB RAM | 512GB SSD |  | macOS 10.15 |  |
Apple MacBook Pro MWP52PP/A (Space Gray) | 13-inch Retina Display | Intel Core i5-1038NG7 | 16GB RAM | 1TB SSD |  | macOS 10.15 |  |
Apple MacBook Pro MXK32PP/A (Space Gray) | 13-inch Retina Display with Touch Bar | Intel Core i5 1.4GHz | 8GB RAM | 256GB SSD |  | macOS |  |
Apple MacBook Pro MXK52PP/A (Space Gray) | 13-inch Retina Display | Intel Core i5 1.4GHz | 8GB RAM | 512GB SSD |  | macOS |  |
Asus ASUS X415EP-EB210T (Silver) | 14-inch FHD IPS | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX330 | Windows 10 |  |
Asus ExpertBook B9450FA-BM0462R | 14-inch | Intel Core i5-10210U | 8GB RAM | 512GB SSD |  |  |  |
Asus ExpertBook L1 L1400CDA STAR BLACK | 14-inch FHD | AMD Ryzen 5 3500U | 8GB DDR4 RAM | 512GB SSD |  | Windows 10 Pro |  |
